"No","Provinsi","2019","2020","2021","2022","2023","Pertumbuhan 2023 terhadap 2022 (%)"
"1","Aceh","1,133.00","1,470.65","1,190.46","1,236.00","1,474.24"," 19.28%"
"2","Sumatera Utara","2,246.24","3,059.53","4,374.14","4,248.77","4,296.41"," 1.12%"
"3","Sumatera Barat","10,965.00","13,551.25","13,871.89","14,033.36","15,426.62"," 9.93%"
"4","Riau","92.00","63.08","67.15","34.19","73.76"," 115.74%"
"5","Jambi","1,506.50","1,750.60","1,784.61","2,125.30","2,127.95"," 0.12%"
"6","Sumatera Selatan","174.00","139.75","193.75","179.90","164.51"," -8.55%"
"7","Bengkulu","105.00","196.90","175.36","93.80","96.67"," 3.06%"
"8","Lampung","471.00","262.00","227.90","234.50","300.45"," 28.12%"
"9","Kepulauan Bangka Belitung","39.00","22.45","24.90","15.70","32.34"," 105.99%"
"10","Kepulauan Riau","24.00","19.43","11.69","7.25","5.90"," -18.62%"
"11","Daerah Khusus Ibukota Jakarta","0.00","0.00","1.06","0.67","0.08"," -88.06%"
"12","Jawa Barat","15,708.00","15,042.10","15,876.70","17,389.74","16,010.28"," -7.93%"
"13","Jawa Tengah","47,943.00","65,411.00","55,978.59","53,593.40","46,795.10"," -12.68%"
"14","Daerah Istimewa Yogyakarta","1,739.50","1,891.11","3,020.39","2,439.48","2,979.57"," 22.14%"
"15","Jawa Timur","42,962.00","47,496.80","53,671.44","51,607.17","51,015.62"," -1.15%"
"16","Banten","238.00","229.00","357.36","201.90","130.53"," -35.35%"
"17","Bali","1,315.00","989.82","1,381.65","1,278.80","1,142.43"," -10.66%"
"18","Nusa Tenggara Barat","16,688.00","17,570.09","20,314.09","18,741.98","19,030.58"," 1.54%"
"19","Nusa Tenggara Timur","1,738.00","1,653.59","1,594.15","1,490.01","1,406.45"," -5.61%"
"20","Kalimantan Barat","84.00","118.00","54.48","26.05","38.36"," 47.26%"
"21","Kalimantan Tengah","135.30","28.65","23.55","24.92","17.36"," -30.34%"
"22","Kalimantan Selatan","186.00","88.50","72.85","46.70","88.35"," 89.19%"
"23","Kalimantan Timur","40.00","77.95","32.09","24.75","59.40"," 140%"
"24","Kalimantan Utara","44.00","39.00","28.20","2.60","11.00"," 323.08%"
"25","Sulawesi Utara","667.00","979.45","676.20","739.50","547.05"," -26.02%"
"26","Sulawesi Tengah","1,361.00","1,054.50","873.04","737.02","585.42"," -20.57%"
"27","Sulawesi Selatan","10,363.00","12,457.50","17,339.85","13,075.37","16,441.40"," 25.74%"
"28","Sulawesi Tenggara","131.00","226.15","265.59","122.93","198.49"," 61.47%"
"29","Gorontalo","127.00","115.00","73.00","93.50","37.25"," -60.16%"
"30","Sulawesi Barat","129.00","244.00","485.41","589.70","499.65"," -15.27%"
"31","Maluku","180.00","216.00","223.55","202.50","179.67"," -11.27%"
"32","Maluku Utara","299.00","347.50","207.50","251.36","234.75"," -6.61%"
"33","Papua Barat","89.00","43.25","45.96","53.71","173.38"," 222.81%"
"34","Papua Barat Daya","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"35","Papua","272.00","45.80","56.07","41.74","61.57"," 47.51%"
"36","Papua Selatan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"37","Papua Tengah","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"38","Papua Pegunungan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"INDONESIA","159,194.54","186,900.40","194,574.62","184,984.27","181,682.59"," -1.78%"