"No","Provinsi","2017","2018","2019","2020","2021","Pertumbuhan 2021 terhadap 2020 (%)"
"1","Aceh","53,799.70","62,167.10","61,886.60","64,781.60","51,686.25"," -20.21%"
"2","Sumatera Utara","31,727.30","39,825.90","49,246.20","61,160.11","78,662.97"," 28.62%"
"3","Sumatera Barat","22,871.70","25,178.70","31,782.40","33,355.93","35,117.92"," 5.28%"
"4","Riau","10,901.70","12,691.10","8,120.12","8,626.96","6,693.87"," -22.41%"
"5","Jambi","8,352.50","8,271.70","9,879.50","13,587.98","11,526.13"," -15.17%"
"6","Sumatera Selatan","15,826.10","13,450.60","11,013.50","11,644.96","11,562.44"," -0.71%"
"7","Bengkulu","7,822.90","11,353.10","11,118.30","11,475.70","16,278.13"," 41.85%"
"8","Lampung","14,705.40","14,648.10","12,795.80","10,558.12","10,921.29"," 3.44%"
"9","Kepulauan Bangka Belitung","1,728.90","2,034.70","2,001.90","3,385.92","3,954.10"," 16.78%"
"10","Kepulauan Riau","1,060.80","1,715.70","2,338.90","2,230.12","1,626.96"," -27.05%"
"11","Daerah Khusus Ibukota Jakarta","8.00","0.40","0.00","0.00","0.60"," 60%"
"12","Jawa Barat","134,909.50","131,418.20","128,494.10","130,838.47","137,456.25"," 5.06%"
"13","Jawa Tengah","148,139.00","141,770.50","148,750.00","159,098.91","179,286.91"," 12.69%"
"14","Daerah Istimewa Yogyakarta","8,386.20","10,146.80","10,039.80","15,052.32","15,933.22"," 5.85%"
"15","Jawa Timur","339,021.70","453,338.00","536,097.70","684,942.94","578,883.00"," -15.48%"
"16","Banten","4,571.80","5,224.60","5,019.40","5,861.00","3,993.26"," -31.87%"
"17","Bali","31,463.90","31,653.90","28,655.90","35,331.32","29,174.92"," -17.42%"
"18","Nusa Tenggara Barat","156,922.10","210,530.30","164,772.60","98,941.40","62,538.86"," -36.79%"
"19","Nusa Tenggara Timur","5,227.80","5,247.40","8,816.00","10,467.90","9,075.94"," -13.3%"
"20","Kalimantan Barat","4,719.10","4,164.70","5,730.60","6,132.54","6,331.79"," 3.25%"
"21","Kalimantan Tengah","2,774.40","3,638.10","5,864.48","6,124.11","6,961.43"," 13.67%"
"22","Kalimantan Selatan","11,848.90","12,670.60","13,768.00","15,615.78","11,757.72"," -24.71%"
"23","Kalimantan Timur","6,040.30","6,795.80","8,029.30","9,080.98","8,367.13"," -7.86%"
"24","Kalimantan Utara","2,706.70","3,298.30","3,821.10","3,330.41","5,818.88"," 74.72%"
"25","Sulawesi Utara","16,915.00","16,469.70","14,760.20","22,414.49","17,370.63"," -22.5%"
"26","Sulawesi Tengah","21,229.50","26,090.10","22,631.60","25,041.74","22,198.53"," -11.35%"
"27","Sulawesi Selatan","45,770.30","36,568.50","26,114.70","24,051.58","26,423.23"," 9.86%"
"28","Sulawesi Tenggara","3,312.90","4,484.20","3,668.60","3,801.35","4,286.70"," 12.77%"
"29","Gorontalo","25,125.80","25,694.60","20,579.80","14,729.22","13,031.76"," -11.52%"
"30","Sulawesi Barat","2,651.20","2,658.10","2,663.00","1,398.65","3,335.74"," 138.5%"
"31","Maluku","4,038.60","3,732.30","3,440.40","5,027.25","3,596.23"," -28.47%"
"32","Maluku Utara","1,261.50","1,095.60","4,649.70","4,527.48","3,732.51"," -17.56%"
"33","Papua Barat","889.40","624.80","3,276.50","2,350.52","3,807.59"," 61.99%"
"34","Papua Barat Daya","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"35","Papua","6,424.70","6,943.10","4,388.27","3,436.42","5,054.05"," 47.07%"
"36","Papua Selatan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"37","Papua Tengah","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"38","Papua Pegunungan","0.00","0.00","0.00","0.00","0.00","&nbsp;"
"INDONESIA","1,153,155.00","1,335,595.30","1,374,214.97","1,508,404.17","1,386,446.91"," -8.09%"